Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
12,12.0,2023-05-16,28-086,DEN,,LAL,W (+6),1,42:26,12.0,17.0,0.706,3.0,3.0,1.0,7.0,8.0,0.875,6.0,15.0,21.0,14.0,0.0,2.0,5.0,4.0,34.0,39.8,11.0,0.828,0.794,17.0,45.9,30.9,43.5,0.0,3.8,19.6,25.8,157.0,130.0,19.0
13,13.0,2022-11-13,27-267,DEN,@,CHI,W (+23),1,27:36,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,0.0,6.0,6.0,14.0,3.0,0.0,2.0,0.0,8.0,19.4,29.0,1.0,1.0,0.0,26.8,14.5,59.3,5.3,0.0,33.3,9.9,172.0,97.0,21.9
13,13.0,2022-11-13,27-267,DEN,@,CHI,W (+23),1,27:36,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,0.0,6.0,6.0,14.0,3.0,0.0,2.0,0.0,8.0,19.4,29.0,0.486,0.429,9.7,35.4,21.9,47.8,3.5,0.0,17.5,29.3,107.0,99.0,8.4
13,13.0,2023-05-18,28-088,DEN,,LAL,W (+5),1,41:57,9.0,21.0,0.429,0.0,3.0,0.0,5.0,6.0,0.833,4.0,13.0,17.0,12.0,3.0,0.0,5.0,3.0,23.0,23.4,7.0,1.0,1.0,0.0,26.8,14.5,59.3,5.3,0.0,33.3,9.9,172.0,97.0,21.9
13,13.0,2023-05-18,28-088,DEN,,LAL,W (+5),1,41:57,9.0,21.0,0.429,0.0,3.0,0.0,5.0,6.0,0.833,4.0,13.0,17.0,12.0,3.0,0.0,5.0,3.0,23.0,23.4,7.0,0.486,0.429,9.7,35.4,21.9,47.8,3.5,0.0,17.5,29.3,107.0,99.0,8.4
14,,2022-11-16,27-270,DEN,,NYK,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,2022-11-16,27-270,DEN,,NYK,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,,0.543,0.526,3.2,13.9,9.0,30.7,1.3,0.0,8.3,29.8,114.0,114.0,2.7
14,14.0,2023-05-20,28-090,DEN,@,LAL,W (+11),1,38:15,9.0,19.0,0.474,2.0,5.0,0.4,4.0,7.0,0.571,1.0,5.0,6.0,8.0,1.0,0.0,2.0,4.0,24.0,18.3,15.0,,,,,,,,,,,,,
14,14.0,2023-05-20,28-090,DEN,@,LAL,W (+11),1,38:15,9.0,19.0,0.474,2.0,5.0,0.4,4.0,7.0,0.571,1.0,5.0,6.0,8.0,1.0,0.0,2.0,4.0,24.0,18.3,15.0,0.543,0.526,3.2,13.9,9.0,30.7,1.3,0.0,8.3,29.8,114.0,114.0,2.7
15,,2022-11-18,27-272,DEN,@,DAL,L (-28),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,2022-11-18,27-272,DEN,@,DAL,L (-28),Inactive,,,,,,,,,,,,,,,,,,,,,,0.563,0.521,7.8,31.5,19.0,47.0,1.2,4.8,10.1,30.6,127.0,117.0,13.2
15,15.0,2023-05-22,28-092,DEN,@,LAL,W (+2),1,45:16,11.0,24.0,0.458,3.0,6.0,0.5,5.0,6.0,0.833,3.0,11.0,14.0,13.0,1.0,3.0,3.0,5.0,30.0,29.8,6.0,,,,,,,,,,,,,
15,15.0,2023-05-22,28-092,DEN,@,LAL,W (+2),1,45:16,11.0,24.0,0.458,3.0,6.0,0.5,5.0,6.0,0.833,3.0,11.0,14.0,13.0,1.0,3.0,3.0,5.0,30.0,29.8,6.0,0.563,0.521,7.8,31.5,19.0,47.0,1.2,4.8,10.1,30.6,127.0,117.0,13.2
16,,2022-11-20,27-274,DEN,@,DAL,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,2022-11-20,27-274,DEN,@,DAL,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,,0.781,0.708,0.0,23.7,13.5,54.5,1.3,2.1,10.4,23.4,156.0,98.0,22.0
16,16.0,2023-06-01,28-102,DEN,,MIA,W (+11),1,40:27,8.0,12.0,0.667,1.0,2.0,0.5,10.0,12.0,0.833,0.0,10.0,10.0,14.0,1.0,1.0,2.0,1.0,27.0,33.1,14.0,,,,,,,,,,,,,
16,16.0,2023-06-01,28-102,DEN,,MIA,W (+11),1,40:27,8.0,12.0,0.667,1.0,2.0,0.5,10.0,12.0,0.833,0.0,10.0,10.0,14.0,1.0,1.0,2.0,1.0,27.0,33.1,14.0,0.781,0.708,0.0,23.7,13.5,54.5,1.3,2.1,10.4,23.4,156.0,98.0,22.0
17,14.0,2022-11-22,27-276,DEN,,DET,L (-2),1,36:44,12.0,16.0,0.75,0.0,0.0,,7.0,11.0,0.636,2.0,7.0,9.0,10.0,1.0,1.0,5.0,3.0,31.0,29.0,13.0,0.744,0.75,6.1,23.5,14.3,47.8,1.4,2.2,19.3,29.5,130.0,113.0,14.6
18,15.0,2022-11-23,27-277,DEN,@,OKC,W (+5),1,43:09,11.0,15.0,0.733,1.0,3.0,0.333,16.0,18.0,0.889,3.0,7.0,10.0,9.0,0.0,0.0,4.0,5.0,39.0,36.6,11.0,0.851,0.767,8.4,17.2,13.1,38.8,0.0,0.0,14.9,26.9,160.0,126.0,13.2
19,16.0,2022-11-25,27-279,DEN,@,LAC,W (+10),1,32:24,7.0,13.0,0.538,0.0,1.0,0.0,5.0,7.0,0.714,2.0,11.0,13.0,6.0,2.0,1.0,2.0,3.0,19.0,20.3,19.0,0.591,0.538,7.6,52.6,27.5,26.4,3.2,3.2,11.1,25.5,124.0,107.0,7.8
20,17.0,2022-11-28,27-282,DEN,,HOU,W (+16),1,27:27,11.0,17.0,0.647,1.0,2.0,0.5,9.0,10.0,0.9,6.0,6.0,12.0,8.0,0.0,0.0,3.0,2.0,32.0,31.9,8.0,0.748,0.676,27.6,25.0,26.2,45.5,0.0,0.0,12.3,38.5,154.0,118.0,16.9
21,18.0,2022-11-30,27-284,DEN,,HOU,W (+20),1,27:33,7.0,9.0,0.778,2.0,3.0,0.667,1.0,1.0,1.0,1.0,8.0,9.0,12.0,1.0,1.0,4.0,5.0,17.0,20.7,10.0,0.9,0.889,4.7,31.7,19.4,65.7,1.8,3.7,29.8,22.8,148.0,99.0,17.6
22,19.0,2022-12-02,27-286,DEN,@,ATL,L (-8),1,35:04,10.0,15.0,0.667,3.0,6.0,0.5,1.0,4.0,0.25,1.0,9.0,10.0,8.0,1.0,0.0,2.0,2.0,24.0,23.5,-8.0,0.716,0.767,3.4,34.2,18.0,35.0,1.5,0.0,10.7,24.3,135.0,121.0,11.8
23,20.0,2022-12-04,27-288,DEN,@,NOP,L (-15),1,37:17,13.0,19.0,0.684,1.0,4.0,0.25,5.0,9.0,0.556,4.0,12.0,16.0,9.0,2.0,1.0,4.0,4.0,32.0,32.1,2.0,0.697,0.711,13.2,38.6,26.1,47.8,2.6,2.3,14.8,31.4,131.0,115.0,16.9
24,21.0,2022-12-06,27-290,DEN,,DAL,L (-1),1,34:03,7.0,13.0,0.538,0.0,3.0,0.0,5.0,6.0,0.833,0.0,8.0,8.0,8.0,1.0,0.0,3.0,1.0,19.0,17.9,2.0,0.607,0.538,0.0,35.2,15.9,37.4,1.5,0.0,16.1,24.5,119.0,121.0,4.3
25,22.0,2022-12-08,27-292,DEN,@,POR,W (+1),1,34:21,14.0,25.0,0.56,1.0,3.0,0.333,4.0,6.0,0.667,3.0,7.0,10.0,9.0,0.0,1.0,6.0,1.0,33.0,25.1,-8.0,0.597,0.58,10.2,21.7,16.2,45.8,0.0,2.7,17.8,40.3,118.0,125.0,7.4
26,23.0,2022-12-10,27-294,DEN,,UTA,W (+5),1,35:22,11.0,20.0,0.55,1.0,4.0,0.25,8.0,10.0,0.8,3.0,9.0,12.0,14.0,1.0,4.0,3.0,3.0,31.0,34.8,10.0,0.635,0.575,10.7,28.4,20.1,59.2,1.4,12.3,10.9,36.8,134.0,107.0,21.5
27,24.0,2022-12-14,27-298,DEN,,WAS,W (+13),1,33:03,17.0,20.0,0.85,0.0,2.0,0.0,9.0,10.0,0.9,2.0,12.0,14.0,8.0,5.0,1.0,8.0,2.0,43.0,42.9,28.0,0.881,0.85,10.8,41.5,29.5,39.6,6.7,2.8,24.7,40.4,136.0,105.0,19.8
28,25.0,2022-12-16,27-300,DEN,@,LAL,L (-18),1,35:17,8.0,15.0,0.533,1.0,3.0,0.333,8.0,9.0,0.889,2.0,9.0,11.0,8.0,4.0,0.0,5.0,3.0,25.0,24.8,-14.0,0.659,0.567,6.3,29.9,17.8,38.7,5.3,0.0,20.9,29.0,119.0,112.0,10.7
29,26.0,2022-12-18,27-302,DEN,,CHO,W (+4),1,39:41,13.0,26.0,0.5,2.0,4.0,0.5,12.0,17.0,0.706,7.0,20.0,27.0,10.0,2.0,0.0,5.0,4.0,40.0,38.3,20.0,0.597,0.538,16.6,46.5,31.7,44.3,2.3,0.0,13.0,37.9,122.0,99.0,15.9
30,27.0,2022-12-20,27-304,DEN,,MEM,W (+14),1,37:05,6.0,12.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,4.0,9.0,13.0,13.0,2.0,0.0,4.0,1.0,13.0,18.8,13.0,0.523,0.542,10.8,27.7,18.7,52.2,2.6,0.0,24.3,18.2,112.0,90.0,10.9
31,28.0,2022-12-23,27-307,DEN,,POR,W (+13),1,35:43,12.0,21.0,0.571,0.0,0.0,,5.0,8.0,0.625,2.0,6.0,8.0,11.0,2.0,0.0,2.0,4.0,29.0,27.2,8.0,0.591,0.571,7.9,17.2,13.3,47.9,2.8,0.0,7.5,34.8,127.0,108.0,10.5
32,29.0,2022-12-25,27-309,DEN,,PHO,W (+3),1,44:25,16.0,25.0,0.64,2.0,4.0,0.5,7.0,9.0,0.778,4.0,11.0,15.0,15.0,0.0,1.0,3.0,4.0,41.0,41.8,12.0,0.708,0.68,10.4,27.3,19.0,69.1,0.0,2.0,9.4,31.5,148.0,119.0,20.8
33,30.0,2022-12-27,27-311,DEN,@,SAC,W (+7),1,36:53,7.0,10.0,0.7,0.0,0.0,,6.0,6.0,1.0,0.0,9.0,9.0,11.0,1.0,0.0,0.0,3.0,20.0,26.0,13.0,0.791,0.7,0.0,30.8,14.8,44.9,1.4,0.0,0.0,15.2,181.0,111.0,12.8
